content|type
The Argentine government introduced emergency capital controls, restricting the amount of dollars that people and firms can buy. The measures are meant to stop money gushing out of the country amid a run on the peso, which has tumbled as investors fret that October’s presidential election will be won by a ticket that includes Cristina Fernández de Kirchner, a former president whose spendthrift policies ruined the economy. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
India’s economy grew by 5% in the second quarter compared with the same three months last year, the country’s slowest growth rate in six years and well below market forecasts. Separate figures showed that domestic car sales slumped in August (by 49% for Tata Motors compared with August 2018) and that manufacturing activity was cooling rapidly. More government stimulus is now on the cards.|business
The Indian government also announced plans to streamline the country’s state-controlled banks, which hold lots of bad debt, cramping their ability to lend, and proposed that ten state banks be merged into four new ones. Markets gave the idea a cool reception.|business
Australia’s GDP grew by 1.4% in the second quarter, the slowest pace since the financial crisis. Exports are booming, but consumers in the Lucky Country are reining in their spending.|business
Turkey’s annual inflation rate fell to 15% in August, the lowest it has been for 15 months. Inflation soared to 25% at the end of last year amid a currency crisis. Today’s more stable lira and decreasing price pressures have boosted expectations that the central bank will again slash interest rates when it meets on September 12th, though probably by not as much as the 4.25-percentage-point cut to rates in July.|business
America and China agreed to resume high-level talks in early October to try to resolve their trade dispute. Negotiators last met in July and there is little hope that a breakthrough will come soon. There was evidence this week that the dispute is having an effect on manufacturing. Factory output in America surprisingly contracted in August for the first time in three years. In Britain manufacturing activity fell to a seven-year low. And in Germany a purchasing-managers’ index suggested that manufacturing had shrunk for an eighth consecutive month. Figures in China showed manufacturing contracting for the fourth month in a row.|business
Uber’s share price hit a new low ahead of the expected passage of a bill in California that would reclassify the employment status of the company’s drivers in the state from contractor to employee, a threat to its low-labour-cost business model.|business
Walmart decided to stop selling ammunition that can be used in military-style weapons and handguns. The retailer has come under pressure to do more to curb gun sales since last month’s mass shooting at one of its stores in El Paso. This week a gunman murdered seven people at random in west Texas. Walmart stopped selling handguns in the 1990s and semi-automatics in 2015, but the latest surge in shootings has led to calls for parents to boycott its stores in the back-to-school season.|business
A key ally of Muhammad bin Salman, Saudi Arabia’s crown prince and de facto ruler, was put in charge of Saudi Aramco. The promotion of Yasir al-Rumayyan to chairman makes the on-off IPO of the state oil company more likely; it could come as early as next year.|business
Cathay Pacific’s chairman stood down, three weeks after its chief executive resigned amid the political turmoil in Hong Kong, Cathay’s home hub. The airline draws a lot of business from the Chinese mainland, where the government has told it to bar cabin crew who participate in Hong Kong’s pro-democracy protests from flying to Chinese airports. Cathay has sacked two pilots who joined the marches. The new chairman, like the new CEO, comes from Swire Group, a conglomerate with a 45% stake in Cathay.|business
Nickel prices soared to five-year highs after the Indonesian government brought forward a ban on exports of nickel ore to December, two years earlier than it had proposed. The metal is used in stainless steel and increasingly in batteries for electric cars, an industry which Indonesia wants to develop domestically.|business
There were more privacy scandals involving internet companies. Google was fined $170m in America for illegally collecting data from child users on its YouTube site in order to target them with ads. And a two-year hacking campaign was uncovered (by Google’s researchers) that tapped into text messages and photos on hundreds of thousands of iPhones. As a reminder that no one is immune, the Twitter account of Jack Dorsey, Twitter’s boss, was briefly hijacked; a number of offensive messages and a bomb threat were tweeted out.|business
A judge in Oklahoma ruled that Johnson & Johnson had broken the state’s “public nuisance” law with its aggressive marketing of opioids and ordered it to pay $572m. It was the first time a drugmaker had stood trial for its part in creating America’s opioid-addiction crisis; others have so far elected to settle rather than face a courtroom. Oklahoma had sought $17bn in damages. J&J said it would nevertheless appeal against the judgment, arguing it followed the rules. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Following the judge’s ruling it was reported that Purdue Pharma, the maker of OxyContin, was in talks to settle its exposure to 2,500 outstanding opioid lawsuits. The negotiations involve the Sackler family, which owns Purdue and has seen some of its donations to museums returned over the opioid issue. See article.|business
Google laid out new staff guidelines in an effort to curb the disruptive internal political debates that have come to characterise its workforce. Its employees often take strident positions on social issues and have pressed management to cancel contracts, most notably with the Pentagon for an image-recognition system. This has left Google open to the charge that it has a leftish bias and stifles conservative views. Its latest rules ask staff “to do the work we’ve each been hired to do, not to spend working time on debates about non-work topics”.|business
The latest escalation of the trade war saw China announcing new tariffs on $75bn-worth of American goods from September 1st. Donald Trump responded by announcing a five-percentage-point increase on existing and planned tariffs on Chinese exports. See article.|business
In a Twitter outburst, Mr Trump described Jerome Powell, the chairman of the Federal Reserve, as an “enemy”, after he dodged mentioning any further cuts to interest rates in his speech to central bankers at Jackson Hole. See article.|business
More concerns were raised about the independence of India’s central bank, after it transferred its entire annual net income and excess reserves to the government. The $25bn windfall, along with a set of stimulus measures, will help kick-start a slowing economy. The Reserve Bank of India has come under political pressure to do more for the economy; its previous governor, Urjit Patel, resigned amid a row with the government last year. See article.|business
The Greek government said it would remove any remaining restrictions on the movement of capital from September 1st. Capital controls were introduced to avoid a run on the banks in 2015, when Greece failed to reach an agreement on extending its bail-out terms and was frozen out of international credit markets. The European Commission said ending capital controls was an “important milestone” for Greece, which now enjoys historically low borrowing costs in bond markets.|business
Argentina will delay payments on short-term debt held by institutional investors. It will also seek to replace another $50bn of securities with later-dated paper and reschedule $44bn owed to the IMF. That will leave it more money to defend the peso, which has fallen steeply on fears the government will lose the election in October to a Peronist opposition that may be even tougher on creditors.|business
With Germany’s economy in the doldrums, a poll of German executives found that business confidence had dropped to levels last seen in 2009, during the financial crisis. In a gloomy prognosis, the IFO survey said “Not a single ray of light was to be seen in any of Germany’s key industries.”|business
BP decided to dispose of its business in Alaska, bringing an end to the company’s 60-year association with the state. In a $5.6bn deal, BP is selling its assets, which include holdings in Prudhoe Bay on Alaska’s Arctic coast, to Hilcorp. Alaska was once a powerhouse in the oil industry, but it is now just America’s sixth-largest oil-producing state.|business
Boeing faced its first lawsuit from a customer over the grounding of its 737 MAX fleet following two fatal crashes. Avia, a Russian firm that leases aircraft, wants to cancel its order for the 737 MAX, arguing that Boeing misrepresented the safety design of the plane.|business
Philip Morris International confirmed it was holding merger talks with Altria, which, if successful, would create a behemoth in the tobacco industry. See article.|business
Tributes were paid to Ferdinand Piëch, who died aged 82. Mr Piëch ran Volkswagen during its transformation into one of the world’s biggest car companies, heading the supervisory board until his departure in 2015 amid the dieselgate scandal. Mr Piëch was a brilliant engineer. His achievements included the Porsche 917, the most influential racing car of its time, and the Quattro, a four-wheel-drive sports car that turned Audi into a rival to BMW and Mercedes.|business
The Business Roundtable, America’s foremost association of chief executives, caused a stir when it redefined the  purpose of a company, ditching the decades-old orthodoxy that increasing shareholder value should be the only objective. Now, the bosses say, companies should also look out for the interests of customers, workers, suppliers and communities, and aim to increase diversity and protect the environment. The statement was signed by almost 200 CEOS, encompassing relative upstarts, such as Amazon and Apple, as well as companies that trace their roots back well over 100 years, including ExxonMobil, General Motors, JPMorgan Chase and Macy’s. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
The minutes from the Federal Reserve’s latest meeting revealed splits over whether to lower its main interest rate. The central bank opted for a cut of a quarter of a percentage point, but two of the ratesetters wanted a half-point cut. Others wanted to hold rates steady.|business
Germany’s central bank warned that there was a real risk the country could slip into recession, describing the economy as “lacklustre”. The Bundesbank pointed to data showing that industrial production is still slowing. See article.|business
Thailand’s government announced a $10bn stimulus package to spur growth in the economy, which has been hit by a surging currency, leading to a slump in exports. GDP rose by 2.3% in the second quarter compared with the same three months last year, the slowest rate since mid-2014. The stimulus measures include incentives for Thais to holiday in their country, as well as extra support for farmers, small businesses and the poor.|business
In a move that it described as a “market-based reform”, China’s central bank set a new benchmark interest rate, the Loan Prime Rate, which will more closely resemble what commercial banks pay it to borrow. See article.|business
American regulators approved an easing of the restrictions on trading by banks that had been introduced under the Volcker rule during the financial crisis. The changes, first mooted in May 2018, simplify the legal definitions of what constitutes proprietary trading, where banks use their own money to invest. Critics contend that weakening the rule will allow banks once again to engage in risky bets through opaque financial instruments.|business
Cathay Pacific’s share price had another turbulent week following the surprise resignation of Rupert Hogg, its British- born chief executive. Based in Hong Kong, the airline has become enmeshed in the city’s recent political strife. China’s state-run press has called for a boycott of Cathay because of its staff’s participation in ongoing street protests. Separately, Alibaba has reportedly postponed a blockbuster listing of shares on the Hong Kong exchange in part because of the political uncertainty. See article.|business
America’s Commerce Department extended the exemption period under which some American companies can conduct business with Huawei, to November 19th. This is primarily to allow rural telecom providers more time “to wean themselves off” the Chinese maker of telecoms equipment, which has been slapped with a ban over national-security concerns.|business
SoftBank was reported to be planning to lend staff up to $20bn so that they can buy stakes in Vision Fund 2. That would come on top of the $38bn that the Japanese conglomerate is itself ploughing into the venture-capital project, raising questions about SoftBank’s exposure to potentially risky tech startups.|business
A long stretch of cost-cutting and the sale of its shale-gas business boosted the fortunes of BHP. The mining company reported underlying income of $9.1bn for the 12 months ending June, its best annual profit in five years, and returned a record dividend to shareholders. Although demand for BHP’s iron ore, copper and coal is still strong in China, it flagged trade tensions as a potential threat to business.|business
As it works towards restoring investor confidence following its troubled acquisition of Monsanto, Bayer agreed to sellits animal-health business for $7.6bn. The German drugs and chemicals group recently sold its Coppertone sun-cream unit and Dr Scholl’s foot-care division, bringing in more cash. Bayer faces a host of legal claims that its Roundup weedkiller, which it inherited when it took over Monsanto, causes cancer.|business
The weakness of the pound, which lowers the cost of buying British assets to overseas investors, was reportedly one of the factors behind an offer from CK Asset Holdings, a property investment firm based in Hong Kong, for Greene King, a pub chain. The deal is worth £4.6bn ($5.6bn). Founded in 1799, Greene King operates around 2,700 pubs, which CK Asset believes will continue to form a central part of British culture long after Brexit. Cheers to that.|business
Spooked by concerns over trade, geopolitical tensions and the possibility of recession, stockmarkets had their worst day of the year so far. The s&P 500, Dow Jones Industrial Average and NASDAQ indices all fell by 3% in a day. In Europe the DAX was down by 2.2% and the FTSE 100 by 1.4%. Investors were particularly concerned by the yield on long-term American government bonds falling below that on short-term bonds for the first time since 2007. Such a yield-curve inversion is usually seen as a harbinger of a downturn. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Also weighing on markets was news that Germany’s GDP shrank by 0.1% in the second quarter compared with the previous three months, underlining the recent fall in German exports and industrial output. Britain’s economy also shrank in the second quarter, by 0.2%, the first contraction of British GDP since the end of 2012. See article.|business
Meanwhile, the growth rate of Chinese industrial output slowed to 4.8% in July compared with the same month last year. That was the slowest pace in more than 17 years and more evidence of the chilling effects of the trade war on the Chinese economy.|business
Earlier in the week, despondent markets had lifted when the Trump administration said it would postpone a 10% tariff on some Chinese imports until December 15th. The list of goods includes smartphones, laptops, video-game consoles and toys, which Donald Trump suggested would benefit shoppers in the run-up to Christmas. The delay applies to two-thirds of the products subjected to this particular levy. A 10% tariff will be collected on the other Chinese goods from September 1st. See article.|business
South Korea removed Japan from its list of trusted trading partners, escalating a trade dispute between the pair (Japan dropped South Korea’s preferential trading status earlier this month). Trade between the two countries will now have to go through more red tape.|business
Saudi Aramco, Saudi Arabia’s state oil company, is to take a 20% stake in the refining and chemicals assets owned by Reliance Industries, an Indian conglomerate. The deal, which is still being negotiated, deepens existing ties between the companies and will be one of the biggest foreign investments in India to date. See article.|business
Boeing delivered just 19 planes in July, the least since the financial crisis. The company is holding more than 150 of its 737 MAX aircraft, which have been grounded after two fatal crashes. The ripples from the grounding continue to spread. Norwegian airline said it was ending flights from Ireland to America in part because of the “continued uncertainty” of the 737 MAX’s return to service. It is Norwegian’s first retreat from a transatlantic market it had entered assertively.|business
Cathay Pacific’s share priceregained the ground it lost amid protests at Hong Kong’s airport. The territory’s biggest airline was also ordered by China’s aviation authority to take crew off any plane bound for the mainland if they supported the protesters. Cathay said it would comply, leaving it vulnerable to claims of being pro-Chinese. See article.|business
After years of on-off negotiations with a plot worthy of a soap opera, Viacom and CBS agreed to merge, reuniting two media companies that were split in 2006 and combining assets such as Paramount and MTV with one of America’s big four networks. Shari Redstone, whose family controls both companies, will become chairwoman of ViacomCBS. See article.|business
Britain’s advertising authority banned two TV ads under new rules on gender stereotyping. One ad, for Volkswagen, depicted men being more adventurous than women. The other, for Philadelphia cream cheese, showed two men distracted by lunch neglecting their babies. Mondelez, the maker of Philadelphia, said it chose two dads “to deliberately avoid the typical stereotype” of two mothers. The regulator disagreed, ruling that “the men were portrayed as somewhat hapless” and that the “humour in the ad derived from the use of the gender stereotype”.|business
WeWork’s parent company filed documents for its eagerly awaited IPO, which might happen next month. The office rental firm is the latest in a string of high-profile startups to float on the stockmarket this year. Like many of its contemporaries, WeWork’s filing suggests it struggles to make a profit. In the first half of this year it recorded a $905m loss. See article.|business
Uber’s share price fell by a fifth in the days after it revealed a $5.2bn quarterly loss. Most of that was because of share-based compensation paid to workers after Uber’s IPO, but even on its favoured measure of profitability it made a loss of $656m, more than in the same quarter last year. Dara Khosrowshahi, the chief executive, accepted that investors were frustrated with mounting losses, conceding that “There’s a meme around, which is, can Uber ever be profitable?”.|business
America officially categorised China as a currency manipulator for the first time in 25 years, after the yuan weakened past the psychologically significant mark of seven to the dollar, the lowest point for the Chinese currency since the financial crisis. The yuan trades narrowly in China around an exchange rate set by the central bank. It dismissed the idea that the yuan had been manipulated, submitting that its depreciation was caused instead by “shifts in market dynamics”, which include “escalating trade frictions”. See article.|business
Those trade frictions had indeed escalated when Donald Trump earlier announced 10% tariffs on an additional $300bn-worth of Chinese goods in the two countries’ trade war. Mr Trump said he was punishing China for not keeping its promise to buy more American agricultural goods, among other things.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Stockmarkets had a rocky week, with the S&P 500, Dow Jones Industrial Average and NASDAQ indices recording their worst trading day of the year so far. Most Asian currencies tumbled following the yuan’s depreciation. But the yen, considered to be a haven in uncertain times, soared against the dollar. The yields on government bonds, another safe bet, fell as investors ploughed into the market.|business
Investors were also unnerved by a wave of larger-than-expected interest-rate cuts. India’s central bank shaved 0.35 of a percentage point off its main rate, to 5.4%; New Zealand’s slashed its benchmark rate from 1.5% to 1%; and Thailand’s first cut in four years left its main rate at 1.5%. All three were pessimistic about the prospects for growth.|business
A trade dispute caused sales of cars made in Japan to plunge in South Korea last month. Samsung, South Korea’s biggest maker of smartphones and memory chips, said it was searching for substitute suppliers of some essential chemicals that Japan has tightened its grip on, which South Korea calls an embargo. This week Japan approved its first shipment of high-tech material to South Korea in a month. The row was sparked by a political spat.|business
The EU selected Kristalina Georgieva as its candidate to head the IMF, but only after the rancorous exercise concluded with some telephone diplomacy. Ms Georgieva is currently the second-highest official at the World Bank. Under an informal convention, Europe gets to pick the managing director of the IMF (and America the president of the World Bank), so Ms Georgieva is favoured to get the job in October, when the IMF will choose its leader. But it must first change a rule that says a new managing director must be under 65. Ms Georgieva turns 66 on August 13th.|business
John Flint’s decision to step down as chief executive of HSBC after just 18 months in the job took markets by surprise. His resignation was made “by mutual agreement with the board”, which reportedly lost confidence in Mr Flint’s ability to steer the bank through increasingly choppy waters stirred by trade tensions between America and China. Most of HSBC’s profit comes from Asia. The bank is expected to take its time choosing a successor. See article.|business
A report prepared for the Intergovernmental Panel on Climate Change suggested that a move away from meat and towards plant-based diets could help fight global warming, but it pulled back from recommending that people become vegetarians. Companies selling plant-based products have seen their share prices soar this year.|business
The latest takeover in the consolidating payments industry saw Mastercard agreeing to buy Nets, a Danish real-time payments provider, for $3.2bn. It is Mastercard’s biggest acquisition to date.|business
Vivendi, a French media company, said it was considering selling a stake of at least 10% of its Universal Music business to Tencent, a Chinese technology conglomerate, possibly raising that to 20% at a later date. If completed, a deal might allow Tencent to combine its expertise in streaming with Universal’s vast catalogue of artists, which include Abba, the Beatles, Drake, Elton John and Taylor Swift.|business
The Harland and Wolff shipyard in Belfast entered administration, marking the probable end of a business that built the Titanic and other famous vessels. The yard once employed 15,000 workers, but now just 122 work on repairs. It has not built a ship since 2003.|business
Barneys New York, a luxury department-store chain that opened shop in 1923, filed for bankruptcy protection and said it would close most of its stores. The company is restructuring its debt and expects to keep seven stores open, including its flagship premises in Manhattan, made famous by “Sex and the City”. Its insolvency proves that the upheaval in retailing is not confined to suburban shopping malls.|business
The Federal Reserve cut its benchmark interest rate for the first time since the financial crisis, by a quarter of a percentage point to a range of between 2% and 2.25%. After nearly four years of tightening, Jerome Powell, the central bank’s chairman, said the Fed was loosening monetary policy amid uncertainties about trade and the world economy as well as lower inflation expectations. A few days before the Fed’s meeting, figures showed that the American economy grew at an annualised rate of 2.1% in the second quarter, well below the first quarter’s 3.1%. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
The euro zone’s economy grew at an annualised rate of just 0.8% in the second quarter. Inflation, meanwhile, fell again in July, to 1.1%, short of the European Central Bank’s 2% target. At a meeting of the ECB on July 25th, Mario Draghi, its outgoing president, signalled that he was “determined to act” to address the euro zone’s persistently low inflation. Many investors are expecting a new round of interest-rate cuts in September. See article.|business
The London Stock Exchange reached an agreement to buy Refinitiv, a provider of financial data, for $27bn. Refinitiv is jointly owned by Blackstone and Thomson Reuters, who will both obtain a stake in the LSE as part of the deal. By acquiring Refinitiv, the stock exchange and clearing-house group will greatly expand its market-information operations, pitting it on many trading floors against Bloomberg, another data provider. See article.|business
In a deal that creates a behemoth in the market for everyday drugs, Pfizer agreed to merge its off-patent medicines business with Mylan, a generics drugmaker. The transaction will place Pfizer’s previously bestselling drugs such as Viagra, which came up against stiff competition from generic versions when its patent expired, in a new company alongside Mylan’s products.|business
Michael O’Leary, the boss of Ryanair, Europe’s biggest low-cost airline, said that around 900 jobs might be shed, including 500 pilots, in part because the grounding of Boeing’s 737 MAX aircraft has caused Ryanair to cut flights. See article.|business
In Washington the Senate Foreign Relations Committee approved sanctions on firms involved with Nord Stream 2, Russia’s gas pipeline to Germany (Congress must approve the bill). Observers think the pipeline is an attempt by Vladimir Putin to increase European reliance on Russian energy.|business
America’s Justice Department approved the merger of T-Mobile and Sprint, but only after the mobile-telecoms companies agreed to sell a range of assets to Dish, a satellite-TV company, that will bolster its wireless services and expand competition in the market. T-Mobile and Sprint still face a lawsuit trying to block the deal brought by several states, led by California and New York, before they can seal their transaction.|business
Huawei, a Chinese telecoms-equipment maker, reported a 23% increase in revenue in the first half of the year and said its 5G business was thriving, despite being blacklisted by America. The company did acknowledge, however, that America’s prohibition on its hardware was affecting smartphone sales outside China.|business
SoftBank announced the creation of a second Vision Fund through which it and outside investors will back technology startups. The new fund hopes to raise $108bn. See article.|business
After 20 years of legal to and fro, the European Court of Justice ruled that a two-second sample from Kraftwerk’s “Metall auf Metall” that was used in another song represented a reproduction of the original work and required a licence. The decision could have a profound effect on the music industry, especially hip-hop. The court also decided, however, that a music sample that had been “modified” did not amount to a reproduction. See article.|business
InterContinental Hotels, which counts the Crowne Plaza and Holiday Inn brands among its assets, became the first global hotel business to stop supplying miniature toiletries in its rooms in order to cut down on plastic. It will instead provide shampoo and the like in larger receptacles across its more than 5,600 properties. See article.|business
Procter & Gamble recorded a big net quarterly loss after writing down the value of its Gillette shaving products business by $8bn. This was in part because of a “lower shaving frequency” in developed markets, as the fashion for beards (see picture) grows ever more popular among younger men.|business
The rivalry in the food-delivery market heated up with Takeaway.com’s $10bn proposed takeover of Just Eat. Takeaway operates mostly in Germany and eastern Europe, and Just Eat in Britain and western Europe; a merger would make them more competitive against Uber Eats and Deliveroo. Food-delivery drivers are also taking a bigger bite of the market; a survey this week found that more than a quarter of them in America had nibbled on customers’ orders.|business
America’s Justice Department announced a broad antitrust review of the market power of online platforms in search, social media and retailing. That increases the pressure on Amazon, Apple, Facebook and Google to improve their behaviour as the calls from some Democrats to break up those companies grow louder during the election season. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Meanwhile, the Federal Trade Commission confirmed that it is slapping Facebook with a $5bn fine for violating privacy. It ordered Facebook to change its attitude to privacy “from the corporate board-level down”, and introduce mechanisms that make its executives accountable for decisions on privacy. The firm disclosed that the FTC has launched a separate antitrust investigation into its practices. See article.|business
Boeing’s quarterly net loss of $2.9bn was its biggest ever. The aerospace company recently disclosed an after-tax charge of $4.9bn in connection with the worldwide grounding of its 737 MAX airliner following two fatal crashes.|business
Carl Icahn, an activist investor, stepped up his attack on Occidental’s offer to take over a rival oil company, Anadarko, calling it a “travesty”. Mr Icahn holds a 4.4% stake in Occidental and has nominated a slate of directors to sit on the company’s board. He has been highly critical of Warren Buffett’s backing of Occidental’s bid, which includes putting $10bn towards its financing.|business
Soon after ditching an IPO of its Asian business, which would have been the world’s most valuable stockmarket flotation this year, Anheuser-Busch InBev agreed to sell its Australian brewing division to Asahi, a Japanese beermaker, for $11.3bn. The world’s biggest brewer still intends eventually to list its Asian assets. It needs the money to pay down the huge debt pile it amassed during a takeover binge.|business
The IMF lowered its forecast of global growth this year, to 3.2%, which would be the weakest in a decade. In its latest outlook the fund described the world economy as “subdued”; it is specifically concerned about trade and technology tensions between America and China and the prospect of Britain leaving the EU without a deal. Still, the IMF expects British GDP to grow by 1.3% this year, slightly above its previous projection in April. It sharply downgraded its growth forecasts for many emerging economies, notably Brazil, Mexico and South Africa.|business
South Africa’s finance minister laid out plans to provide Eskom, which generates most of the country’s electricity, with another rescue, this time worth 59bn rand ($4.2bn). Moody’s, a credit-rating agency, said that because the embattled utility is ever more dependent on bail-outs it would regard Eskom’s debt as part of the government’s.|business
The Federal Reserve took the unusual step of qualifying the remarks of a senior official to reassure markets that they had not been made in relation to the central bank’s forthcoming decision on interest rates. Speculation that the Fed might cut its benchmark rate by half a percentage point, rather than a quarter, mounted after John Williams, who heads the Federal Reserve Bank of New York, said that he supports aggressive easing. Donald Trump, a critic of the Fed’s recent monetary tightening, seized on the remarks, saying they underlined its “faulty thought process”.|business
Costs related to the overhaul of its business pushed Deutsche Bank to a €3.2bn ($3.5bn) net loss in the second quarter, its biggest quarterly loss in four years. The German bank booked about half of a restructuring charge it will take as it retreats from trading and slashes 18,000 jobs over the next three years.|business
Nissan confirmed it would cut 12,500 jobs worldwide, or 10% of its workforce, by 2022, as it curtails capacity. The Japanese carmaker has struggled in recent years. Profit in the latest quarter fell by 95% compared with the same three months last year, to ¥6.4bn ($58m).|business
General Motors delayed the large-scale roll-out of its autonomous-car ride-hailing service, which it has developed in collaboration with Cruise, its self-driving-car unit. It had hoped to deploy a fleet of robotaxis on the roads of San Francisco by the end of this year, but the launch has been delayed indefinitely. GM, like its competitors, is still dealing with technical obstacles and unresolved regulatory questions.|business
In the week when Tesla dismayed investors with another disappointing quarterly earnings report, Ford unveiled an electric-powered prototype of its F-150 pickup truck in response to a claim by Elon Musk that Tesla’s rival model would have better “functionality”. Ford’s F-series pickups are the best-selling cars in America. In a show of strength, its prototype pulled a freight train for 1,000 feet, a direct challenge to Mr Musk’s boast about the better performance of his new vehicle.|business
In a presentation to scientists, Elon Musk said that a startup he backs which is developing technology to integrate artificial intelligence with the brain plans to begin tests on humans by the end of next year. Neuralink is working on a system that will connect the human brain to machines by implanting hundreds of electrode “threads”, thinner than strands of hair, into the brain, using a surgical robot. The procedure is intended for patients with severe neurological disorders, but could eventually be used to boost the brain’s power. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
News emerged that Facebook is to be fined $5bn in America for violating users’ privacy in the Cambridge Analytica scandal. Although this would be by far the biggest penalty levied on a technology company in the United States, one bipartisan group of senators described it as “egregiously inadequate”, and that $5bn was too small to “alter the incentives and behaviour of Facebook and its peers”. The Federal Trade Commission is awaiting approval for the settlement from the Justice Department. See article.|business
Meanwhile, there was more push back from officials against Facebook’s plan to launch a global cryptocurrency, to be named Libra. Steven Mnuchin, America’s treasury secretary, said that given concerns about the potential for money-laundering, Libra was a national security issue and that Facebook has “a lot of work to do” convincing government.|business
The negative political rumblings on Libra were one factor behind a dramatic fall in digital-currency prices, a volatile market at the best of times. Bitcoin plunged by a third over the course of the week.|business
The EU’s competition regulator trained its sights on Amazon. The retailer is to be investigated over the process for sharing the “Buy Box” on its website with independent vendors, and whether it uses data provided by the vendors to its own advantage when selling its own products.|business
Netflix’s share price tumbled after it disclosed that it had lost subscribers in America for the first time in eight years and had signed up just 2.7m new users globally in the second quarter, far below its forecast of 5m. Netflix raised the subscription price for its American customers earlier this year, just as it is about to face strong competition from other media companies starting their own online streaming services.|business
Sterling fell sharply against the dollar and other currencies. Markets are waking up to the likely victory of Boris Johnson in the race to become Britain’s new prime minister. Mr Johnson maintains a hardline position that he is prepared to leave the EU without a deal on October 31st; Britain’s fiscal watchdog thinks a no-deal Brexit would plunge the country into recession.|business
Four months into its search for a new CEO following the abrupt departure of Timothy Sloan, Wells Fargo reported a higher-than-expected quarterly net profit of $6.2bn. The bank is struggling to find a new boss as it continues to deal with the regulatory fallout from a fake-accounts scandal. Other American banks also released second-quarter earnings. Profit came in at $9.7bn for JPMorgan Chase, $7.3bn for Bank of America and $2.4bn for Goldman Sachs, all above forecasts.|business
China’s GDP grew by 6.2% in the second quarter, year on year, the slowest pace in three decades. As the trade war with America hits exports, China’s economy is now fuelled by domestic demand. See article.|business
South Korea’s central bank sliced a quarter of a percentage point off its main interest rate, to 1.5%. It was the first cut in three years and comes amid a slump in the country’s exports.|business
The new governor of Turkey’s central bank suggested that there was now “room to manoeuvre” on cutting interest rates, given a fall in inflation to 15.7%. Murat Uysal was appointed to the job when his predecessor was ousted in a row over monetary policy with the government. Recep Tayyip Erdogan, the country’s president, said recently that he expects a “serious” reduction in the 24% benchmark rate.|business
Anheuser-Busch InBev scrapped a sale of shares in its Asian business, blaming market conditions. The brewer had hoped to raise $9.8bn on the Hong Kong stock exchange, which would have made it the world’s biggest IPO this year, ahead of Uber.|business
AG Barr, the maker of IRN-BRU, a soft drink that holds a special place in the Scottish psyche, issued a profit warning, blaming a “disappointing” summer in Scotland for a drop in sales. The company, which counts Tizer and Big Willie ginger beer among its brands, has also had to reduce the amount of sugar in its drinks to comply with a sugar tax. IRN-BRU’s distinct fluorescent orange colour (and its unique taste, a product of 32 flavouring agents) evokes such passion that a butcher in Fife once produced IRN-BRU infused sausages.|business
Deutsche Bank revealed details of a long-awaited €7.4bn ($8.3bn) restructuring plan. Its investment-banking division will bear the brunt. The troubled lender will close its global equity-trading unit and cut 18,000 people from its 91,500 workforce. It will also create a “bad bank” to house unwanted assets. Christian Sewing, Deutsche Bank’s chief executive, hopes the move will cut costs by €6bn a year. Analysts responded to the restructuring by saying it was long overdue. See article.|business
Turkey’s President Recep Tayyip Erdogan sacked Murat Cetinkaya, the governor of the country’s central bank, and suggested that the institution needs an overhaul. Mr Cetinkaya was apparently ousted for refusing the president’s request to lower interest rates. Mr Erdogan seemingly wants greater control of monetary policy, a stance that has previously contributed to runs on the Turkish lira. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Britain’s Information Commissioner’s Office, a data-privacy regulator, said it would fine British Airways (BA) £183m ($230m) over a data breach last summer. In June 2018 criminals hacked into BA’s website and stole personal data, including the names, addresses and credit-card details of around 500,000 customers. It was the first fine Britain handed out under the EU’s new General Data Protection Regulation, which greatly increased the size of potential penalties. The second came the next day, when Marriott, a hotel group, was told it would be fined £99m for a data breach discovered last year. Both BA and Marriott said they would contest their penalties.|business
Virgin Galactic said that it was planning an initial public offering. The firm, which hopes to take its first paying passengers into space early next year, could be valued at $1.5bn. Negotiations over a $1bn investment from Saudi Arabia’s sovereign-wealth fund were ended last year after the murder of Jamal Khashoggi, a journalist, by Saudi operatives in Istanbul.|business
America began an investigation into France’s planned digital-services tax. The Trump administration says the 3% levy on the French revenues of big internet firms unfairly targets American companies like Google and Amazon. Its probe could result in America imposing tariffs or other trade restrictions. Several European countries are mulling digital taxes, though all say they would prefer a global deal—which the OECD, a club of rich countries, is trying to broker.|business
The Trump administration said it would issue licences allowing American companies to sell their products to Huawei, a Chinese technology firm, provided that the sales do not threaten national security. In May, after trade talks with China collapsed, America had blacklisted the Chinese telecoms firm over security concerns related to its links to the Communist Party of China. President Trump agreed to allow Huawei to resume sales to American firms last month.|business
